age,annual_income,credit_score,number_of_dependents,years_employed,vehicle_value,annual_premium,monthly_expenses,savings_amount,loan_amount,number_of_policies,vehicle_ownership_duration,customer_since_years,policy_renewal_count,gender,marital_status,education_level,job_title,region,policy_type,employment_type,payment_frequency,communication_preference,relationship_to_policyholder,health_status,driving_record,home_ownership,risk_appetite,credit_utilization_band,owns_vehicle,has_children,has_previous_claims,is_smoker,is_diabetic,owns_multiple_policies,has_health_insurance,is_student,has_loyalty_discount,attended_defensive_driving,claim_status
56,64718.28,635.0,4,4,17579.7,907.11,2248.14,19895.23,7579.48,4,0,3,4,Male,Married,Master,Musician,Central,Comprehensive,Student,Quarterly,SMS,Self,Good,Average,Renter,Medium,High,1,0,0,0,0,0,0,1,1,1,0
69,62079.69,679.0,1,30,20325.51,611.93,1786.3,-856.06,14302.0,4,10,8,0,Male,Single,Master,Control and instrumentation engineer,North,Personal Injury,Unemployed,Yearly,SMS,Other,Poor,Average,Mortgage,Medium,Low,0,0,0,1,0,0,0,1,1,0,0
46,59810.34,688.0,1,10,30371.51,1732.22,3046.37,4761.09,4865.1,1,12,11,3,Male,Married,Master,Hydrologist,Central,Collision,Retired,Yearly,SMS,Parent,Good,Excellent,Owner,Low,Low,1,0,0,0,0,1,0,1,1,0,0
32,61890.01,706.0,1,37,31262.27,1294.6,63.05,5253.4,8833.24,3,6,2,4,Male,Single,Bachelor,"Restaurant manager, fast food",South,Comprehensive,Unemployed,Yearly,In-person,Self,Fair,Very Bad,Owner,Low,Low,0,1,0,0,1,0,0,0,1,1,0
60,54442.5,708.0,2,3,11578.69,1062.81,2302.37,4475.28,12255.02,2,16,5,2,Female,Married,None,Location manager,East,Collision,Unemployed,Quarterly,SMS,Other,Poor,Excellent,Renter,High,High,1,0,0,0,1,0,0,1,0,1,0
25,35943.72,633.0,0,6,23625.91,1052.53,1725.85,8919.25,10326.43,4,7,12,3,Male,Married,Bachelor,Technical sales engineer,West,Personal Injury,Student,Monthly,Email,Parent,Fair,Very Bad,Mortgage,Low,High,1,1,0,0,1,0,1,1,1,0,1
78,54047.43,689.0,1,22,19921.57,1244.04,2502.15,37005.01,12445.45,2,6,6,0,Male,Single,Master,Hydrogeologist,North,Comprehensive,Self-Employed,Quarterly,Phone,Self,Poor,Average,Renter,Low,High,1,0,0,0,0,0,1,1,1,1,0
38,67031.25,727.0,3,30,19344.64,1512.31,4383.07,6219.45,9135.79,3,13,3,4,Female,Widowed,PhD,Applications developer,West,Personal Injury,Self-Employed,Monthly,SMS,Self,Fair,Excellent,Living with Family,High,Very High,1,0,0,0,1,1,1,1,0,1,0
56,57945.98,622.0,2,16,33303.08,747.06,3839.33,-1137.95,12847.93,3,18,9,4,Female,Married,None,Medical technical officer,East,Collision,Retired,Yearly,Email,Child,Excellent,Very Bad,Living with Family,Low,High,1,0,0,0,0,0,0,1,0,1,0
75,65872.33,767.0,1,9,17624.62,1079.72,2104.02,19937.04,12965.79,2,16,11,1,Male,Widowed,Bachelor,Estate agent,East,Collision,Student,Quarterly,SMS,Other,Fair,Average,Renter,Low,Low,0,0,1,0,0,1,0,1,1,1,0
36,51198.25,631.0,2,21,14244.23,1696.19,2351.63,17422.87,14270.08,2,10,6,3,Male,Single,None,Clinical research associate,Central,Comprehensive,Student,Monthly,Email,Spouse,Very Good,Very Bad,Living with Family,Medium,Medium,1,0,0,0,0,0,0,1,0,0,0
40,74915.04,761.0,0,29,11850.09,1447.39,1829.73,37162.83,13985.47,2,9,13,2,Male,Widowed,High School,"Pilot, airline",West,Collision,Student,Quarterly,Phone,Spouse,Good,Good,Mortgage,Low,Medium,1,0,0,0,0,0,1,1,0,1,0
28,21655.23,632.0,3,28,18254.53,1421.79,2379.31,14592.08,14925.75,1,6,9,4,Female,Married,Bachelor,Actor,East,Comprehensive,Student,Yearly,SMS,Other,Fair,Average,Renter,High,Medium,1,1,0,0,1,1,1,1,1,1,0
28,62121.61,677.0,2,16,12647.54,1322.31,3088.92,-7874.13,7584.7,4,19,6,2,Female,Divorced,Bachelor,Senior tax professional/tax inspector,East,Third Party,Student,Yearly,In-person,Self,Good,Good,Living with Family,Medium,Very High,1,0,0,1,0,0,1,1,0,1,1
41,80233.21,670.0,0,20,11352.18,1293.14,1449.05,10725.78,7863.88,4,14,7,2,Female,Divorced,High School,"Therapist, sports",Central,Comprehensive,Unemployed,Yearly,Phone,Child,Good,Bad,Mortgage,High,High,1,0,0,0,0,0,1,1,0,0,0
70,82465.48,611.0,2,21,11100.3,1059.55,3753.36,10527.0,11010.11,3,1,13,1,Female,Single,Bachelor,Fish farm manager,Central,Personal Injury,Unemployed,Yearly,Phone,Other,Poor,Excellent,Owner,Medium,Low,1,0,0,1,0,1,1,1,1,1,0
53,56522.61,714.0,4,38,11694.57,1032.54,3231.54,2671.38,19794.94,3,15,6,2,Male,Single,High School,"Engineer, maintenance",Central,Comprehensive,Retired,Quarterly,Phone,Spouse,Very Good,Very Bad,Mortgage,Medium,Very High,1,1,0,0,0,1,0,1,1,0,0
57,40107.03,717.0,3,39,12391.68,1441.84,3196.71,9373.94,11140.8,3,17,0,2,Male,Widowed,Master,Engineering geologist,North,Personal Injury,Salaried,Quarterly,SMS,Spouse,Good,Average,Renter,High,Medium,1,1,0,0,0,1,1,0,0,1,0
41,80497.09,710.0,1,21,23990.53,1038.12,2805.98,13504.44,18388.73,4,3,6,1,Female,Single,PhD,Historic buildings inspector/conservation officer,East,Comprehensive,Unemployed,Quarterly,Phone,Child,Good,Bad,Mortgage,Low,High,1,0,0,0,0,0,1,1,0,1,0
20,59222.02,667.0,1,26,400.17,1285.15,1777.12,14391.73,17401.49,3,16,8,3,Female,Single,Master,Investment analyst,Central,Collision,Unemployed,Quarterly,Phone,Parent,Fair,Bad,Mortgage,Low,Low,1,1,1,0,0,1,0,1,0,0,0
39,57615.46,644.0,2,22,12982.47,1245.52,3309.68,1195.58,17436.01,2,2,11,3,Female,Married,None,"Surveyor, mining",North,Collision,Salaried,Monthly,Phone,Child,Fair,Bad,Living with Family,Low,Low,1,1,1,1,0,0,1,1,1,1,0
